Pnumber	MeanLearnSpa1	BlocksinAdap	AdapSuccess	AvgExp	PretestScore	EnglishAoA	SRPEnglish	FreqEnglish	MeanLearnSpa2	Lextale	Group	Difference_Error	Difference_RT
608	86.9565217391304	24	0.41304347826087	17.9565217391304	0.805825242718447	9	6.75	48.75	1310.04347826087	83	Honours	0	-7.32533295434848
610	100	4	0.804347826086957	8.8695652173913	0.679611650485437	12	3.25	8.75	1386.4347826087	71	Honours	0.0434782608695652	234.043693006603
611	86.9565217391304	24	0.58695652173913	17.6521739130435	0.689320388349515	14	6.25	45	1442.91304347826	71	Honours	0.106521739130435	-253.487781524072
612	95.6521739130435	3	0.956521739130435	8.43478260869565	0.932038834951456	11	4.75	85	1157.95652173913	95	Honours	0	187.110831601391
613	82.6086956521739	5	0.847826086956522	9.30434782608696	0.533980582524272	8	5.25	0	1909.04347826087	62	Honours	0	310.010701766119
614	95.6521739130435	7	0.869565217391304	10.1739130434783	0.485436893203884	12	5.75	3.75	1448.13043478261	68	Honours	0	422.22423587001
615	100	4	0.782608695652174	8.8695652173913	0.902912621359223	9	6.25	63.75	1450.60869565217	83	Honours	0.0454545454545455	360.198617696076
616	91.304347826087	9	0.673913043478261	11.0434782608696	0.776699029126214	10	5	51.25	1223.82608695652	67	Honours	0	0.880807767810381
617	100	26	0.41304347826087	18.7391304347826	0.485436893203884	10	6	97.5	1299.78260869565	57	Honours	-0.0869565217391304	-156.960963095964
618	100	2	1	8	0.932038834951456	10	5.75	35	1118.4347826087	85	Honours	0	163.645182211029
619	95.6521739130435	3	0.91304347826087	8.43478260869565	0.893203883495146	14	4.25	35	4005.04347826087	77	Honours	0	-165.456973945996
620	100	2	1	8	0.932038834951456	11	6.5	165	1678	93	Honours	0.0434782608695652	622.960364705364
622	100	12	0.717391304347826	12.3478260869565	0.815533980582524	10	5.5	68.75	2229.5652173913	76	Honours	-0.0434782608695652	370.232011202599
623	95.6521739130435	12	0.58695652173913	12.3913043478261	0.83495145631068	10	7	45	855.565217391304	76	Honours	-0.0434782608695652	358.515504034186
624	100	11	0.695652173913043	11.9130434782609	0.902912621359223	11	4.25	32.5	2769.86956521739	90	Honours	0.0476190476190476	NA
625	95.6521739130435	4	0.934782608695652	8.8695652173913	0.766990291262136	11	5.5	108.75	973	71	Honours	0.0454545454545455	1408.94859579586
626	95.6521739130435	5	0.91304347826087	9.30434782608696	0.737864077669903	10	5.25	68.5	1583.86956521739	71	Honours	0	164.609954576969
627	100	5	0.978260869565217	9.30434782608696	0.543689320388349	12	6.25	67.5	1252.26086956522	73	Honours	0	694.734211670727
628	100	14	0.565217391304348	13.3478260869565	0.699029126213592	11	5.75	93.75	1945.86956521739	57	Honours	-0.0434782608695652	-125.278915759128
629	95.6521739130435	4	0.869565217391304	8.8695652173913	0.728155339805825	10	4.5	22.5	2875.04347826087	51	Honours	0.0454545454545455	671.526023735471
630	100	3	0.934782608695652	8.43478260869565	0.679611650485437	12	5	23.5	1612.5652173913	75	Honours	0	325.964170311029
631	100	5	0.891304347826087	9.30434782608696	0.728155339805825	12	5	45	1338.91304347826	55	Honours	-0.0434782608695652	807.588048869442
